Gene symbol	Description	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	cell-cell adhesion	cell surface	opc_fold_change	endothelial_fold_change
C230091D08Rik		4.4056	7.945	3.9392	3.9531	1.3596	0.2374	1.7612	0	0	1.5347	-1.0474
C230096C10Rik		17.902	11.479	19.097	18.845	11.848	5.1853	1.6896	0	0	0.68872	-3.0568
C2cd2	C2 calcium-dependent domain containing 2	2.4765	1.929	2.3758	4.3636	3.7639	1.9782	8.1787	0	0	-0.6638	1.539
C2cd2l		3.6816	13.927	6.3482	6.6059	6.0581	7.8277	10.244	0	0	0.067494	0.46755
C2cd3	C2 calcium-dependent domain containing 3	4.9922	1.8398	3.3524	2.6461	1.04	2.6042	2.8363	0	0	1.6885	0.046769
C2cd4a		0.1	0.12156	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.050925
C2cd4b		4.7787	1.1255	1.0163	0.50715	0.41642	0.13231	0.35917	0	0	1.2871	-1.888
C2cd4c		0.1	1.5096	1.1484	0.39217	0.2539	0.17432	0.11562	0	0	2.1773	-2.3669
C2cd4d		0.32828	0.13914	0.36591	0.17653	0.1	0.1	0.1	0	0	1.8715	-1.0118
C3	Complement component 3	0.1	0.1	0.13139	0.1	0.1	1.5456	0.1	0	0	0.3938	-1.7914
C330005M16Rik		0.1	0.13487	0.1	0.47739	0.1008	0.1	0.1	0	0	-0.011553	-0.75568
C330006K01Rik		3.9522	3.2202	5.9809	9.9372	10.133	5.0637	1.8403	0	0	-0.76067	-1.7939
C330007P06Rik		11.149	5.9871	11.174	10.17	6.7052	4.5626	10.417	0	0	0.73684	0.32929
C330008G21Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C330018D20Rik		4.0081	1.1385	2.9942	3.0563	2.6292	0.81964	1.4029	0	0	0.18756	-0.799
C330019G07Rik		5.4893	2.9876	3.6372	4.607	1.3241	1.7017	1.6286	0	0	1.4578	-1.015
C330021F23Rik		4.5022	8.6571	13.104	11.975	13.202	34.153	37.025	0	0	-0.010781	1.376
C330024D21Rik		0.17428	0.17551	0.1	0.12526	0.10099	0.1	0.1	0	0	-0.014248	-0.37117
C330027C09Rik		3.8468	1.1412	4.8498	0.97259	0.15083	0.1123	3.0188	0	0	5.0069	0.70991
C330046G13Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C3ar1	Complement component 3a receptor 1	0.1	0.21134	5.5736	0.10009	0.32595	108.09	0.1	0	0	4.0959	-7.575
C430002E04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C430048L16Rik		6.0935	6.6278	6.233	2.7697	0.5499	0.65036	1.9742	0	0	3.5027	-0.95256
C430049B03Rik		0.30905	0.31042	7.4273	3.3911	0.22938	0.41226	0.76042	0	0	5.017	-1.4047
C4a	Complement component 4A (Rodgers blood group)	1.4584	0.72508	0.27641	0.2897	0.10788	0.33554	0.1	0	0	1.3575	-2.4119
C4b		6.7858	0.30104	0.22247	0.13238	0.24938	2.3128	0.10652	0	0	-0.1647	-3.9683
C4bp		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C4bp-ps1		0.25504	0.15616	0.18437	0.1	0.1	0.1	0.12985	0	0	0.8826	-0.20096
C530005A16Rik		0.34992	0.90904	0.51693	0.48376	0.34583	0.15312	0.23861	0	0	0.57988	-0.94625
C530008M17Rik		1.4434	14.715	7.0473	2.6323	1.6922	0.1	5.2306	0	0	2.0582	0.18376
C530028O21Rik		3.0406	31.127	38.357	10.352	1.6699	17.304	2.3521	0	0	4.5217	-2.8514
C5ar1	Complement component 5a receptor 1	0.1	0.12512	2.9153	0.11601	0.14299	97.617	0.1	0	1	4.3497	-7.3954
C6	Complement component 6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C630004H02Rik		1.0231	29.892	16.215	17.169	12.405	1.3789	8.5484	0	0	0.3864	-0.60631
C630020P19Rik		0.1	0.44958	0.65962	0.26555	0.13678	0.1	0.1	0	0	2.2698	-1.5122
C630028M04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C630043F03Rik		3.5122	1.6879	0.89799	3.6177	5.9341	0.10526	3.5986	0	0	-2.7242	0.45463
C730027H18Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C730036E19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C77080		1.3195	6.8539	5.4264	3.717	0.65889	0.971	2.3057	0	0	3.0419	-0.4537
C77370		0.19775	4.2042	2.5657	0.81891	0.12947	0.1	1.0285	0	0	4.3086	-0.37733
C78339		11.219	19.803	10.999	7.2783	2.2141	1.2622	9.6793	0	0	2.3126	0.13807
C80913		7.0641	11.23	8.553	9.4608	8.0624	3.3526	12.496	0	0	0.085226	0.6518
C85492		6.2005	5.7518	6.875	1.8694	0.92328	2.58	1.785	0	0	2.8965	-1.176
C86187		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C86695		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C87414		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C87436		2.8007	2.349	3.1576	1.7907	1.2478	2.4287	2.5921	0	0	1.3394	0.17514
C87499		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C87977		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C8a	Complement component 8, alpha polypeptide	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C8b	Complement component 8, beta polypeptide	0.18538	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.19193
C8g	Complement component 8, gamma polypeptide	0.5291	0.35212	0.37234	0.29728	0.22508	0.39482	1.0925	0	0	0.7262	1.5944
C9	Complement component 9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
C920006O11Rik		0.77982	0.25688	0.34245	0.18706	0.10479	0.10738	0.28421	0	0	1.7084	-0.060594
C920009B18Rik		0.1	0.1	0.1	0.1	0.1	0.18084	0.1	0	0	0	-0.18235
C920021L13Rik		0.43086	0.22653	0.25505	0.18759	0.26732	0.17794	0.90263	0	0	-0.067793	1.8093
CK137956		0.29577	2.0984	0.76759	1.3293	0.55807	0.1499	0.1	0	0	0.45988	-3.1152
Cab39	Calcium binding protein 39	20.629	33.952	37.24	37.386	20.551	15.035	27.955	0	0	0.85768	0.025483
Cab39l	Calcium binding protein 39-like	1.8955	3.2136	6.4763	3.981	2.931	2.9494	8.7976	0	0	1.1438	1.2994
Cabin1	Calcineurin binding protein 1	11.021	7.8051	7.2547	6.1078	2.9475	7.523	3.7926	0	0	1.2994	-0.90661
Cables1	Cdk5 and Abl enzyme substrate 1	5.0685	2.4476	7.7861	2.12	0.71058	61.026	3.7209	0	0	3.4538	-1.8261
Cables2	Cdk5 and Abl enzyme substrate 2	4.1016	6.9623	5.3375	2.3216	1.2506	4.532	7.1866	0	0	2.0936	0.81524
Cabp1	Calcium binding protein 1	0.38153	5.1014	4.8421	1.2395	3.594	7.4482	1.8331	0	0	0.43004	-1.0394
Cabp2	Calcium binding protein 2	0.1	0.1	0.1	0.1	0.10659	0.1	0.1	0	0	-0.092004	-0.015747
Cabp4	Calcium binding protein 4	0.1	0.27356	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.36655
Cabp5	Calcium binding protein 5	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Cabp7	Calcium binding protein 7	0.14189	2.992	1.3681	0.20919	0.53409	0.35909	0.1	0	0	1.357	-3.2235
Cabyr	Calcium binding tyrosine-(Y)-phosphorylation regulated	0.97102	2.422	0.6648	1.0237	0.83768	0.31033	0.33251	0	0	-0.33348	-1.6427
Cachd1	Cache domain containing 1	19.065	3.9275	4.948	1.5908	1.0853	0.12583	11.339	0	0	2.1887	1.146
Cacna1a	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	0.63962	29.855	6.4352	1.727	0.46881	1.9324	1.9325	0	0	3.7789	-1.8242
Cacna1b	Calcium channel, voltage-dependent, N type, alpha 1B subunit	0.10639	15.629	2.2056	0.70481	0.96789	0.1568	0.1	0	0	1.1883	-5.0422
Cacna1c	Calcium channel, voltage-dependent, L type, alpha 1C subunit	0.41499	8.1987	6.4965	2.3172	0.42108	0.1	0.27082	0	0	3.9475	-3.4654
Cacna1d	Calcium channel, voltage-dependent, L type, alpha 1D subunit	2.1951	6.798	7.7185	2.4182	0.13116	3.0959	0.13192	0	0	5.8789	-4.82
Cacna1e	Calcium channel, voltage-dependent, R type, alpha 1E subunit	0.34302	5.6238	6.0126	1.0711	0.13567	0.1	2.8521	0	0	5.4698	0.36512
Cacna1f	Calcium channel, voltage-dependent, L type, alpha 1F subunit	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Cacna1g	Calcium channel, voltage-dependent, T type, alpha 1G subunit	0.89437	10.959	7.6931	2.5393	0.35431	0.57017	0.1	0	0	4.4405	-5.2612
Cacna1h	Calcium channel, voltage-dependent, T type, alpha 1H subunit	4.9418	7.4	4.0965	1.6289	1.6065	0.21292	0.30342	0	0	1.3505	-3.4494
Cacna1i	Calcium channel, voltage-dependent, T type, alpha 1I subunit	0.1	1.8086	0.90471	0.19256	0.5506	0.57059	0.1	0	0	0.71645	-2.7821
Cacna1s	Calcium channel, voltage-dependent, L type, alpha 1S subunit	0.1	0.1	0.1	0.1	0.1	0.55457	0.1	0	0	0	-0.81362
Cacna2d1	Calcium channel, voltage-dependent, alpha 2/delta subunit 1	3.5065	65.359	7.001	6.3449	1.8746	0.12403	0.42433	0	0	1.901	-5.0477
Cacna2d2	Calcium channel, voltage-dependent, alpha 2/delta subunit 2	2.166	89.911	2.7099	0.56518	0.13796	0.11086	0.11247	0	0	4.2959	-7.1464
Cacna2d3	Calcium channel, voltage-dependent, alpha 2/delta 3 subunit	0.36958	34.951	8.0172	1.449	0.47513	0.24302	0.16402	0	0	4.0767	-5.5311
Cacna2d4	Calcium channel, voltage-dependent, alpha 2/delta subunit 4	0.40232	0.1	0.1	0.77958	1.5929	0.1	0.1	0	0	-3.9936	-2.3574
Cacnb1	Calcium channel, voltage-dependent, beta 1 subunit	17.716	20.197	7.2219	2.6052	1.9907	2.0717	0.48407	0	0	1.8591	-4.1567
Cacnb2	Calcium channel, voltage-dependent, beta 2 subunit	0.68875	2.7352	1.4925	0.31042	0.10521	0.6338	0.10211	0	0	3.8264	-3.2836
Cacnb3	Calcium channel, voltage-dependent, beta 3 subunit	5.6137	41.389	25.685	15.563	18.178	10.229	0.69636	0	0	0.49876	-4.8033
Cacnb4	Calcium channel, voltage-dependent, beta 4 subunit	0.51963	6.0941	8.4142	11.378	4.7858	0.34791	0.55929	0	0	0.81408	-3.2325
Cacng1	Calcium channel, voltage-dependent, gamma subunit 1	0.1	0.37072	0.48201	0.12682	0.1	0.21704	0.33761	0	0	2.2691	0.53649
Cacng2	Calcium channel, voltage-dependent, gamma subunit 2	0.1	7.8539	0.44731	0.1	0.42061	0.44154	0.1	0	0	0.088793	-3.964
Cacng3	Calcium channel, voltage-dependent, gamma subunit 3	0.1	8.3603	1.6987	0.18704	1.3887	1.7272	0.1	0	0	0.29071	-4.4878
Cacng4	Calcium channel, voltage-dependent, gamma subunit 4	14.732	30.628	275.75	79.381	1.5333	0.59403	0.20185	0	0	7.4906	-8.3769
Cacng5	Calcium channel, voltage-dependent, gamma subunit 5	1.1729	30.957	11.669	2.5232	0.44343	0.1	0.1	0	0	4.7178	-6.2874
Cacng6	Calcium channel, voltage-dependent, gamma subunit 6	0.16012	0.14657	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.23612
Cacng7	Calcium channel, voltage-dependent, gamma subunit 7	25.472	56.641	103.01	99.981	86.32	8.7242	0.36656	0	0	0.25501	-7.4334
Cacng8	Calcium channel, voltage-dependent, gamma subunit 8	7.9145	12.363	11.97	2.556	0.56133	0.89229	0.1	0	0	4.4145	-5.9172
Cacybp	Calcyclin binding protein	15.145	31.508	25.387	18.627	11.891	4.8546	21.764	0	0	1.0943	0.28181
Cad	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	5.1416	4.1554	5.9744	3.6312	1.1018	5.6772	4.0639	0	0	2.4389	-0.074855
Cadm1	Cell adhesion molecule 1	45.963	29.157	30.493	43.919	6.3998	13.554	14.764	1	0	2.2523	-0.93607
Cadm2	Cell adhesion molecule 2	36.419	15.357	36.433	51.155	8.008	0.22671	0.18732	1	0	2.1857	-7.037
Cadm3	Cell adhesion molecule 3	5.4021	106.03	34.06	39.442	9.98	1.8063	0.44768	1	0	1.771	-6.1945
Cadm4	Cell adhesion molecule 4	92.624	89.684	290.08	437.53	281.99	7.8776	8.588	1	0	0.040778	-4.5413
Cadps	Ca2+-dependent secretion activator	1.4899	38.752	13.28	4.7667	2.3755	0.29865	0.34434	0	0	2.4829	-4.883
Cadps2	Ca2+-dependent activator protein for secretion 2	3.7469	4.1318	5.0707	1.7074	0.9188	0.27113	0.25341	0	0	2.4643	-3.3816
Cage1	Cancer antigen 1	0.39235	0.70989	0.28223	0.17216	0.1	0.13303	0.41228	0	0	1.4969	0.46696
Calb1	Calbindin 1, 28kDa	0.1338	7.221	1.3484	0.13988	0.75026	0.60844	0.356	0	0	0.84576	-2.2558
Calb2	Calbindin 2, 29kDa (calretinin)	0.42521	109.95	16.154	3.3064	1.2693	0.21598	0.80387	0	0	3.6697	-4.7669
Calca	Calcitonin/calcitonin-related polypeptide, alpha	0.16497	2.1575	0.6458	0.1448	0.12401	0.2119	0.1	0	0	2.3807	-2.5232
Calcb	Calcitonin-related polypeptide, beta	0.1	0.25094	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.32374
Calcoco1	Calcium binding and coiled-coil domain 1	14.706	16.965	16.955	9.8931	9.7652	11.588	12.683	0	0	0.79601	-0.069807
Calcoco2	Calcium binding and coiled-coil domain 2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Calcr	Calcitonin receptor	0.1	0.25414	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.32988
Calcrl	Calcitonin receptor-like	0.18451	0.45815	27.649	5.2984	0.1003	0.28748	15.458	0	0	8.1067	1.4487
Cald1	Caldesmon 1	1.2614	4.2598	12.839	7.2504	1.6328	0.11194	23.378	0	0	2.9751	2.3583
Calhm1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Calhm2		0.34203	0.10458	0.52507	0.1	0.12425	5.4396	0.84342	0	0	2.0793	-0.39094
Calm1	Calmodulin 1 (phosphorylase kinase, delta)	47.554	219.47	123.69	135.61	124.72	57.305	255.03	0	0	-0.011899	1.1112
Calm2	Calmodulin 2 (phosphorylase kinase, delta)	35.485	316.95	115.63	54.849	59.687	92.635	128.88	0	0	0.95404	0.19557
Calm3	Calmodulin 3 (phosphorylase kinase, delta)	35.509	305.59	126.69	117.9	315.93	87.549	78.604	0	0	-1.3183	-1.0686
Calm4		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Calm5		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Calml3	Calmodulin-like 3	0.1	0.1	0.1	0.1	0.1	0.1	0.12866	0	0	0	0.36356
Calml4	Calmodulin-like 4	0.20956	0.1	0.12706	0.1	0.1	0.13184	0.71924	0	0	0.34547	2.4895
Caln1	Calneuron 1	0.12465	7.7333	0.98143	0.31293	0.51071	0.61938	0.48553	0	0	0.94238	-1.8195
Calr	Calreticulin	217.75	156.32	358.77	289.65	130.05	435.12	320.87	0	1	1.4639	0.2781
Calr3	Calreticulin 3	0.8943	0.614	0.57108	0.53932	0.34664	0.33206	1.6228	0	0	0.72027	1.5622
Calr4		0.7112	0.1	0.1	0.10067	0.10762	0.1	0.1	0	0	-0.10597	-1.0232
Calu	Calumenin	73.815	38.301	62.774	67.347	27.283	32.041	157.79	0	0	1.2022	1.6505
Caly		0.76098	65.907	30.965	5.6447	2.6587	2.3609	1.1278	0	0	3.5419	-4.0003
Camk1	Calcium/calmodulin-dependent protein kinase I	9.0975	20.456	64.418	12.668	12.481	318.46	20.83	0	0	2.3677	-1.8079
Camk1d	Calcium/calmodulin-dependent protein kinase ID	4.7929	4.063	2.9553	0.55232	0.42288	4.7394	0.48066	0	0	2.805	-2.6034
Camk1g	Calcium/calmodulin-dependent protein kinase IG	2.0082	6.5715	4.4951	0.70165	0.31537	0.68663	0.11493	0	0	3.8332	-4.4216
Camk2a	Calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	0.80913	10.325	46.101	6.2566	47.178	42.912	0.50487	0	0	-0.033326	-5.6639
Camk2b	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	1.1072	60.646	16.893	2.5859	5.5775	6.4162	0.88135	0	0	1.5987	-4.1399
Camk2d	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	16.581	12.442	6.4052	2.0646	0.9399	8.5268	5.0696	0	0	2.7687	-0.62651
Camk2g	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	87.441	32.245	18.007	6.6355	3.0916	6.6897	8.231	0	0	2.5421	-1.6418
Camk2n1	Calcium/calmodulin-dependent protein kinase II inhibitor 1	19.798	15.861	42.013	15.672	55.715	32.898	15.358	0	0	-0.40723	-0.98154
Camk2n2	Calcium/calmodulin-dependent protein kinase II inhibitor 2	2.3828	52.205	19.916	4.4328	9.4754	7.4065	1.2665	0	0	1.0717	-3.6564
Camk4	Calcium/calmodulin-dependent protein kinase IV	0.48962	4.8525	2.618	1.3268	0.54524	0.25534	0.2466	0	0	2.2635	-2.7693
Camkk1	Calcium/calmodulin-dependent protein kinase kinase 1, alpha	3.8984	7.3284	5.9969	2.6929	0.49057	6.237	0.62036	0	0	3.6117	-2.8396
Camkk2	Calcium/calmodulin-dependent protein kinase kinase 2, beta	3.8695	9.8263	7.4936	2.0682	2.7996	7.0519	4.1353	0	0	1.4205	-0.4162
Camkv	CaM kinase-like vesicle-associated	0.74321	32.253	8.1657	1.3846	7.5027	11.283	0.96859	0	0	0.12217	-3.3996
Caml		15.602	17.846	17.054	12.331	8.5272	7.9453	31.24	0	0	0.99998	1.2409
Camp	Cathelicidin antimicrobial peptide	0.1	0.13135	0.43897	0.10393	0.1	6.2909	0.33321	0	0	2.1341	-1.8415
Camsap1	Calmodulin regulated spectrin-associated protein 1	7.1487	11.73	5.7583	5.3489	2.9272	5.5533	2.3693	0	0	0.97612	-1.4361
Camsap1l1	Calmodulin regulated spectrin-associated protein 1-like 1	15.9	18.891	15.266	30.09	3.5783	1.7976	21.117	0	0	2.093	0.56703
Camta1	Calmodulin binding transcription activator 1	4.463	26.622	6.24	3.6835	2.0191	2.1008	6.9521	0	0	1.6278	-0.11356
Camta2	Calmodulin binding transcription activator 2	15.241	18.426	12.82	7.0077	8.6176	24.95	4.1944	0	0	0.57309	-1.7905
Cand1	Cullin-associated and neddylation-dissociated 1	16.321	15.475	12.12	9.6595	4.6046	6.7381	8.905	0	0	1.3962	-0.28097
Cand2	Cullin-associated and neddylation-dissociated 2 (putative)	2.5859	1.2519	3.4844	0.68917	0.1	2.0153	0.29949	0	0	5.1228	-2.4945
Cant1	Calcium activated nucleotidase 1	13.514	12.38	17.91	18.625	13.58	32.979	8.9771	0	0	0.39931	-1.0168
Canx	Calnexin	129.35	64.197	136.13	129.16	54.233	53.084	79.454	0	0	1.3277	-0.24802
Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	24.689	43.888	65.182	101.61	64.778	214.01	104.01	0	0	0.0089628	0.27953
Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	8.1029	1.8098	4.6877	0.58474	0.84149	0.70178	0.47273	0	0	2.4778	-2.5602
Capg	Capping protein (actin filament), gelsolin-like	0.77223	0.24146	0.99248	0.17196	0.53783	19.949	67.493	0	0	0.88388	4.1592
Capn1	Calpain 1, (mu/I) large subunit	1.4962	2.5068	0.72999	0.1	0.35632	6.5821	4.175	0	0	1.0347	1.0895
Capn10	Calpain 10	9.33	11.086	9.3113	12.946	9.8854	2.3164	2.5505	0	0	-0.08632	-1.8423
Capn11	Calpain 11	1.0048	0.10977	0.1	0.1	0.1	0.1	0.1	0	0	0	-1.3359
Capn12	Calpain 12	0.1	0.27929	0.1	0.1	0.1	0.11342	0.59471	0	0	0	2.1704
Capn13	Calpain 13	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Capn2	Calpain 2, (m/II) large subunit	37.612	26.389	23.468	21.249	18.648	3.4645	43.404	0	0	0.3317	0.99318
Capn3	Calpain 3, (p94)	0.1	0.10613	5.1683	0.39024	0.82844	77.487	0.1	0	0	2.6412	-7.1307
Capn5	Calpain 5	1.5561	12.631	10.775	62.276	38.207	0.67456	0.17216	0	1	-1.8262	-6.9319
Capn6	Calpain 6	0.1	0.31699	0.36025	3.3276	0.62055	0.1	0.1	0	0	-0.78455	-3.0076
Capn7	Calpain 7	15.252	13.038	11.867	7.5325	1.8202	2.4762	10.715	0	0	2.7049	0.30646
Capn8	Calpain 8	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Capn9	Calpain 9	0.13227	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.075567
Capns1	Calpain, small subunit 1	40.759	71.813	88.306	88.146	140.19	172.76	238.47	0	0	-0.66684	1.249
Capns2	Calpain, small subunit 2	0.1	0.16383	0.5343	0.11809	0.1	0.4122	0.1	0	0	2.4177	-1.2514
Caprin1	Cell cycle associated protein 1	33.806	46.299	53.686	51.766	20.138	26.187	46.383	0	0	1.4146	0.26325
Caprin2	Caprin family member 2	2.4195	2.1197	2.7597	1.0581	0.19517	0.366	0.68269	0	0	3.8217	-1.1225
Caps2	Calcyphosine 2	0.74354	0.24896	0.1	0.10117	0.1	0.1	0.1	0	0	0	-1.2159
Capsl	Calcyphosine-like	1.331	0.15487	0.1	0.1	0.1	0.1	0.1	0	0	0	-1.6522
Capza1	Capping protein (actin filament) muscle Z-line, alpha 1	9.2009	8.5262	11.105	12.076	7.8711	17.805	32.764	0	0	0.49661	1.5619
Capza2	Capping protein (actin filament) muscle Z-line, alpha 2	58.338	59.389	74.158	51.256	29.933	89.24	92.407	0	0	1.3089	0.61379
Capza3	Capping protein (actin filament) muscle Z-line, alpha 3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Capzb	Capping protein (actin filament) muscle Z-line, beta	37.792	63.777	84.424	58.786	52.396	220.08	133.92	0	0	0.6882	0.63544
Car1		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Car10		0.59173	40.726	6.9147	1.0768	0.53948	0.37018	0.1	0	0	3.68	-6.3871
Car11		3.9136	37.196	21.412	10.676	6.7657	4.0731	0.53101	0	0	1.6621	-4.7212
Car12		0.1	0.44038	0.45541	0.1	0.1	0.1	0.1161	0	0	2.1872	-0.89539
Car13		0.31565	0.20524	0.21243	0.25391	0.72538	1.45	0.16231	0	0	-1.7717	-1.6993
Car14		0.18846	0.13355	0.1447	16.584	36.332	0.11183	10.994	0	0	-7.972	0.30233
Car15		0.66979	0.72519	0.66814	0.38758	0.42163	0.43109	0.33201	0	0	0.66419	-0.72968
Car2		148.47	9.7511	23.187	92.696	309.66	14.182	97.109	0	0	-3.7393	-0.037386
Car3		0.73801	0.18835	0.29741	0.10749	0.10804	0.1	0.1	0	0	1.461	-1.3592
Car4		2.6436	2.3975	1.9829	0.21922	0.72749	2.9889	601.38	0	1	1.4466	8.363
Car5a		0.1	0.1	0.1	0.1	0.1	0.1	4.0659	0	0	0	5.3455
Car5b		3.1546	0.11064	0.45582	0.10409	0.38225	0.17729	0.42918	0	0	0.25392	-0.76786
Car6		0.1	0.1	0.15884	0.23204	0.1	0.1	0.24497	0	0	0.66759	0.89414
Car7		0.11959	0.79393	0.65672	0.14032	0.38035	1.3233	0.17572	0	0	0.78797	-1.6953
Car8		31.187	3.4993	15.165	5.0971	0.45544	0.16042	0.28131	0	0	5.0573	-5.0409
Car9		0.13734	0.1	0.1	0.1	0.1	0.22603	0.1	0	0	0	-0.34743
Card10	Caspase recruitment domain family, member 10	0.29383	2.5611	0.31617	0.10326	0.13566	0.50039	7.005	0	0	1.2207	3.426
Card11	Caspase recruitment domain family, member 11	0.1	0.1	0.22522	0.1	0.1	0.57469	0.1	1	0	1.1713	-0.99988
Card14	Caspase recruitment domain family, member 14	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
Card6	Caspase recruitment domain family, member 6	0.19411	0.1	0.18417	0.1	0.1	1.7545	1.7598	0	0	0.88104	2.1178
Card9	Caspase recruitment domain family, member 9	0.1	0.14	1.3764	0.1	0.12714	28.862	0.1	0	0	3.4364	-5.6774
Carf		2.5079	2.4313	1.4729	1.1029	0.33979	0.20398	1.7693	0	0	2.1159	0.39759
Carhsp1	Calcium regulated heat stable protein 1, 24kDa	12.071	29.334	14.016	76.888	117.35	10.349	22.35	0	0	-3.0657	-0.95527
Carkd		18.323	19.645	35.465	35.327	24.638	20.574	20.796	0	0	0.52552	-0.30336
Carm1	Coactivator-associated arginine methyltransferase 1	13.096	15.006	11.666	8.2216	3.9018	10.772	9.5675	0	0	1.5801	-0.12644
Carns1		0.58371	0.84647	0.50397	8.2631	24.597	0.39709	0.16891	0	0	-5.609	-5.1178
Cars	Cysteinyl-tRNA synthetase	12.653	13.87	9.6821	9.6793	5.2721	10.684	6.4701	0	0	0.87694	-0.67174
Cars2		6.4802	6.365	6.711	4.2146	1.7427	7.0119	5.4842	0	0	1.9452	0.016754
Cartpt	CART prepropeptide	1.4622	0.92728	0.37786	0.13278	0.52427	0.86333	0.13049	0	0	-0.47248	-2.4533
Casc1	Cancer susceptibility candidate 1	0.18125	0.10937	0.1	0.1	0.1	0.12579	0.21374	0	0	0	0.84001
Casc3	Cancer susceptibility candidate 3	16.103	22.235	12.398	11.208	6.6556	22.014	8.974	0	0	0.89746	-0.75095
Casc4	Cancer susceptibility candidate 4	28.838	31.608	33.544	28.453	9.6693	0.96136	3.6941	0	0	1.7946	-2.5859
Casc5	Cancer susceptibility candidate 5	1.1308	0.17179	1.1869	0.11617	0.1	0.1	0.45825	0	0	3.5692	-0.029228
Casd1	CAS1 domain containing 1	10.749	13.243	11.699	7.8322	2.5806	4.3581	15.49	0	0	2.1806	0.88112
Cask	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	12.298	12.083	28.475	24.034	3.3317	2.3329	6.3514	0	0	3.0954	-1.1153
Caskin1		40.455	24.769	20.582	8.9661	2.2779	1.8216	0.26538	0	0	3.1756	-5.9564
Caskin2	CASK interacting protein 2	13.047	2.3026	105.26	38.102	10.481	0.45169	16.627	0	0	3.3281	-0.76595
Casp1	Caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	1.1241	0.63128	0.65277	0.1	0.12373	4.2098	0.10373	0	0	2.3994	-3.4585
Casp12	Caspase 12	0.14877	0.1	0.1	0.1	0.1	0.1	3.2758	0	0	0	4.921
Casp14	Caspase 14, apoptosis-related cysteine peptidase	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
